ID_Mahasiswa (NIM/Nama),Gender,IPS_Sem1,IPS_Sem2,IPS_Sem3,IPS_Sem4,Total_SKS_Ambil,Total_SKS_Lulus,Nilai_Matkul_Killer,Jml_Mengulang,Status_Beasiswa,Bekerja
20230452272 - Anisa Sari,Perempuan,3.69,3.66,3.85,3.58,96,96,91,0,Ya,Tidak
20230458644 - Intan Aprilia,Perempuan,3.33,3.01,3.57,3.36,82,82,76,0,Tidak,Tidak
20230452414 - Wulan Santoso,Perempuan,3.04,3.34,3.29,3.01,89,86,67,1,Tidak,Ya
20230454187 - Aldi Akbar,Laki-laki,2.88,2.53,2.76,2.83,75,73,63,1,Tidak,Tidak
20220454590 - Nurul Anggraini,Perempuan,3.55,3.38,3.15,3.24,91,88,70,1,Tidak,Tidak
20230455678 - Yuni Wijaya,Perempuan,3.11,3.19,3.45,3.93,88,86,76,1,Tidak,Tidak
20230453031 - Joko Hidayat,Laki-laki,3.05,2.94,3.15,3.41,87,87,77,0,Tidak,Ya
20220457533 - Dewi Permata,Perempuan,2.49,2.75,2.54,2.54,80,76,58,2,Tidak,Ya
20230452825 - Salma Febrianti,Perempuan,3.33,3.26,3.64,3.72,95,95,80,0,Tidak,Tidak
20220455885 - Wulan Azizah,Perempuan,2.33,2.43,2.53,2.76,83,83,64,0,Tidak,Tidak
20230459212 - Alif Utami,Laki-laki,3.67,3.61,3.57,3.66,95,95,84,0,Ya,Tidak
20230458124 - Maya Setiawan,Perempuan,3.17,3.74,3.06,2.71,92,92,74,0,Tidak,Ya
20220454480 - Maya Purnama,Perempuan,3.02,2.69,2.74,2.55,85,81,66,1,Tidak,Tidak
20220453084 - Vina Santoso,Perempuan,3.73,3.35,3.55,3.37,88,88,94,0,Tidak,Tidak
20230458634 - Kevin Maulana,Laki-laki,3.13,3.05,3.25,3.16,83,77,68,2,Tidak,Ya
20230453334 - Bagas Utami,Laki-laki,3.28,3.02,2.87,2.90,92,92,77,0,Tidak,Tidak
20230456363 - Ilham Permata,Laki-laki,2.79,2.68,2.93,2.99,86,86,82,0,Ya,Tidak
20230456791 - Indah Fadillah,Perempuan,2.99,3.19,3.21,3.09,92,92,79,0,Tidak,Tidak
20220452355 - Yuni Hidayat,Perempuan,3.33,3.26,3.60,4.00,93,89,86,1,Ya,Tidak
20220453879 - Rafi Cahya,Laki-laki,3.25,3.00,3.11,2.79,87,87,75,0,Tidak,Ya
20230456565 - Alif Permata,Laki-laki,2.81,2.60,2.97,2.78,77,74,71,1,Tidak,Tidak
20230456196 - Andi Maulana,Laki-laki,2.80,2.64,2.80,3.22,82,78,71,2,Tidak,Tidak
20230457254 - Joko Permata,Laki-laki,3.10,3.56,3.23,3.21,84,84,92,0,Tidak,Tidak
20230457128 - Maya Kurniawan,Perempuan,3.06,3.21,4.00,4.00,89,89,87,0,Tidak,Tidak
20230458042 - Wahyu Febrianti,Laki-laki,3.84,4.00,4.00,4.00,93,93,89,0,Tidak,Tidak
20220457618 - Budi Maulana,Laki-laki,3.75,4.00,3.74,4.00,96,96,91,0,Tidak,Tidak
20230452525 - Tiara Firmansyah,Perempuan,2.80,3.07,3.66,3.27,82,82,77,0,Tidak,Tidak
20230459877 - Anisa Maharani,Perempuan,2.75,2.87,2.93,3.08,80,74,60,2,Tidak,Tidak
20230457733 - Yuni Akbar,Perempuan,3.73,3.39,3.87,3.43,92,92,88,0,Tidak,Tidak
20230459461 - Vina Santoso,Perempuan,2.37,2.28,2.39,2.44,80,76,64,2,Tidak,Tidak
20220457572 - Nico Azizah,Laki-laki,3.15,3.21,3.67,3.75,91,91,82,0,Tidak,Tidak
20230457190 - Aldi Maulana,Laki-laki,3.46,3.47,3.65,3.96,90,90,92,0,Ya,Ya
20220451205 - Reza Salsabila,Laki-laki,2.99,3.31,2.99,2.82,82,82,83,0,Tidak,Tidak
20220451470 - Bagas Salsabila,Laki-laki,2.76,3.46,3.10,3.52,88,88,88,0,Ya,Tidak
20220451918 - Doni Nugroho,Laki-laki,2.71,2.67,2.49,2.87,79,79,72,0,Tidak,Tidak
20220451547 - Dewi Setiawan,Perempuan,3.26,3.29,3.30,3.88,89,89,83,0,Tidak,Ya
20220459341 - Iqbal Anggraini,Laki-laki,2.72,2.88,2.78,3.09,77,74,72,1,Tidak,Tidak
20230457605 - Citra Cahya,Perempuan,2.84,2.92,2.75,2.39,83,80,72,1,Tidak,Tidak
20230455877 - Salma Putra,Perempuan,2.68,2.44,2.79,2.21,83,77,63,2,Tidak,Ya
20220454019 - Wahyu Cahya,Laki-laki,2.73,2.57,2.54,2.42,83,83,68,0,Tidak,Ya
20220457519 - Tiara Purnama,Perempuan,2.98,3.47,3.84,4.00,94,94,85,0,Tidak,Ya
20230458542 - Rangga Ananda,Laki-laki,2.87,3.11,3.17,2.97,88,88,80,0,Tidak,Ya
20230454884 - Nabila Rahman,Perempuan,3.16,3.25,2.96,3.07,85,83,73,1,Tidak,Tidak
20220454825 - Fira Cahya,Perempuan,2.40,2.40,2.08,2.12,72,69,58,1,Tidak,Ya
20220458850 - Anisa Laksana,Perempuan,3.75,3.75,3.48,3.22,95,92,85,1,Tidak,Tidak
20230457443 - Fitri Azizah,Perempuan,2.57,2.76,2.21,2.59,83,80,65,1,Tidak,Tidak
20230453011 - Wulan Utami,Perempuan,3.66,3.96,3.99,4.00,88,88,84,0,Tidak,Ya
20230457573 - Nurul Fadillah,Perempuan,3.02,3.22,3.42,3.10,84,84,78,0,Tidak,Tidak
20220458930 - Dewi Ananda,Perempuan,2.80,3.65,3.52,3.59,92,89,81,1,Ya,Ya
20230456836 - Aisyah Purnama,Perempuan,2.37,2.27,2.58,2.61,81,75,59,2,Tidak,Tidak
20230456832 - Aulia Purnama,Perempuan,3.29,3.29,3.05,2.97,91,91,89,0,Tidak,Tidak
20220452849 - Rafi Purnama,Laki-laki,3.02,3.31,3.09,3.55,85,82,82,1,Ya,Tidak
20220455781 - Rian Syahputra,Laki-laki,3.46,3.15,3.08,3.31,89,89,82,0,Tidak,Tidak
20220455888 - Wulan Yusuf,Perempuan,3.45,3.47,3.48,3.36,90,86,77,1,Tidak,Ya
20220457220 - Ahmad Saputra,Laki-laki,3.35,2.98,3.19,2.69,83,83,73,0,Tidak,Ya
20230453787 - Melati Fadillah,Perempuan,2.87,3.00,3.23,3.38,89,89,74,0,Tidak,Tidak
20230453821 - Rahma Syahputra,Perempuan,3.08,2.98,3.48,3.28,92,92,74,0,Tidak,Tidak
20220453552 - Putri Pratama,Perempuan,2.52,2.95,3.15,2.84,79,76,74,1,Tidak,Tidak
20230454267 - Fitri Laksana,Perempuan,2.82,3.28,3.50,3.49,84,82,74,1,Ya,Tidak
20230455882 - Fajar Setiawan,Laki-laki,3.12,2.66,2.85,2.51,76,76,73,0,Tidak,Tidak
20220457874 - Aulia Febrianti,Perempuan,3.09,3.39,3.61,3.29,88,85,86,1,Tidak,Tidak
20220458147 - Dimas Laksana,Laki-laki,3.29,3.57,3.34,3.55,91,91,79,0,Tidak,Tidak
20230454404 - Ilham Wijaya,Laki-laki,2.10,2.18,2.33,2.17,81,69,42,4,Tidak,Tidak
20230457259 - Aldi Permata,Laki-laki,2.91,2.72,3.17,3.28,83,79,65,1,Tidak,Tidak
20230454410 - Tasya Wijaya,Perempuan,2.58,2.18,2.43,2.52,82,76,56,3,Tidak,Tidak
20220459612 - Farhan Salsabila,Laki-laki,2.97,3.17,3.27,3.00,84,84,88,0,Tidak,Tidak
20220456668 - Doni Salsabila,Laki-laki,1.74,2.00,1.99,2.22,75,69,60,2,Tidak,Tidak
20230455766 - Melati Hidayat,Perempuan,4.00,4.00,4.00,4.00,89,89,97,0,Ya,Tidak
20230453619 - Nisa Ramadhan,Perempuan,2.91,2.76,2.64,2.72,80,80,80,0,Tidak,Tidak
20220457400 - Joko Santoso,Laki-laki,2.77,3.03,2.82,3.12,74,74,75,0,Tidak,Tidak
20220459550 - Aulia Nugroho,Perempuan,2.97,2.96,3.46,3.24,91,91,71,0,Tidak,Ya
20220456136 - Iqbal Setiawan,Laki-laki,3.55,2.99,3.01,2.72,82,80,78,1,Tidak,Tidak
20230452369 - Iqbal Utami,Laki-laki,2.87,2.11,2.55,2.09,72,57,27,5,Tidak,Tidak
20230453082 - Maya Fadillah,Perempuan,3.69,3.15,3.26,2.84,91,91,78,0,Tidak,Tidak
20220454515 - Indah Maulana,Perempuan,3.57,3.71,3.15,3.77,94,94,92,0,Tidak,Tidak
20220454840 - Tasya Hidayat,Perempuan,2.89,2.72,2.80,2.66,74,71,59,1,Tidak,Ya
20230458900 - Indah Rahman,Perempuan,3.56,3.82,3.70,4.00,93,93,90,0,Tidak,Tidak
20230456458 - Vina Santoso,Perempuan,3.87,3.30,3.27,3.20,94,94,81,0,Ya,Ya
20220455127 - Naufal Utami,Laki-laki,2.66,2.70,2.48,2.38,77,71,62,2,Tidak,Tidak
20220452277 - Farhan Syahputra,Laki-laki,2.91,2.85,2.57,2.90,81,81,75,0,Tidak,Tidak
20230458768 - Anisa Putra,Perempuan,3.62,3.59,3.33,3.45,95,91,77,1,Tidak,Ya
20230459386 - Indah Laksana,Perempuan,2.93,3.11,3.08,3.08,90,90,75,0,Tidak,Tidak
20220454997 - Siti Purnama,Perempuan,2.61,2.98,2.26,2.65,88,85,74,1,Tidak,Ya
20230451591 - Wahyu Aprilia,Laki-laki,2.33,2.69,2.76,2.74,78,74,58,1,Tidak,Tidak
20220457754 - Nurul Yusuf,Perempuan,2.30,2.29,2.55,2.57,68,62,53,2,Tidak,Ya
20230457071 - Fauzan Maulana,Laki-laki,2.92,3.59,3.22,3.14,87,87,88,0,Tidak,Ya
20230454444 - Vina Laksana,Perempuan,3.42,3.68,3.51,3.66,92,92,82,0,Tidak,Ya
20230454175 - Andi Kurniawan,Laki-laki,2.99,2.88,2.76,2.36,81,81,72,0,Tidak,Tidak
20230454214 - Riska Akbar,Perempuan,3.13,2.86,3.50,3.45,82,80,86,1,Ya,Tidak
20230457208 - Wulan Firmansyah,Perempuan,2.19,2.25,2.64,2.77,71,62,44,3,Tidak,Ya
20230459251 - Iqbal Permata,Laki-laki,3.53,3.20,3.44,3.46,88,88,85,0,Tidak,Tidak
20220456050 - Aulia Anggraini,Perempuan,3.06,3.37,3.37,2.98,84,84,76,0,Tidak,Ya
20230453616 - Wulan Ramadhan,Perempuan,2.90,2.85,2.96,2.53,82,79,65,1,Tidak,Ya
20220451838 - Aldi Pratama,Laki-laki,2.98,3.13,3.28,3.18,85,77,65,2,Tidak,Tidak
20230459694 - Agung Nugroho,Laki-laki,3.25,3.22,3.17,3.28,84,84,78,0,Tidak,Tidak
20220455102 - Rafi Sari,Laki-laki,2.97,3.24,3.10,3.26,88,84,65,2,Tidak,Tidak
20230452918 - Wulan Salsabila,Perempuan,2.62,2.78,2.75,2.71,86,84,65,1,Tidak,Ya
20230452910 - Dewi Purnama,Perempuan,2.67,2.60,2.67,2.31,80,80,82,0,Tidak,Ya
20230455437 - Galih Rahman,Laki-laki,3.49,3.67,3.55,3.35,89,89,89,0,Ya,Tidak
20230453983 - Melati Febrianti,Perempuan,2.67,2.75,2.30,2.43,79,79,71,0,Tidak,Tidak
20230458481 - Lestari Salsabila,Perempuan,3.53,3.88,3.49,3.65,88,88,94,0,Ya,Ya
20220459939 - Anisa Anggraini,Perempuan,3.39,3.38,3.67,4.00,89,89,81,0,Tidak,Tidak
20230457550 - Nico Saputra,Laki-laki,3.65,3.77,3.84,3.70,88,88,85,0,Tidak,Tidak
20230457725 - Dimas Pratama,Laki-laki,3.66,3.02,3.08,2.74,83,83,82,0,Tidak,Tidak
20230451929 - Intan Yusuf,Perempuan,3.19,3.35,3.47,3.05,85,82,81,1,Tidak,Tidak
20220454285 - Lestari Syahputra,Perempuan,3.33,3.25,3.51,3.74,93,90,87,1,Tidak,Tidak
20230456833 - Zahra Setiawan,Perempuan,3.28,3.37,3.60,3.74,88,88,78,0,Tidak,Tidak
20230453621 - Budi Saputra,Laki-laki,3.00,2.72,3.38,3.21,90,87,76,1,Tidak,Tidak
20220458841 - Citra Santoso,Perempuan,3.70,2.77,2.97,2.31,80,74,63,2,Tidak,Tidak
20220451060 - Intan Febrianti,Perempuan,2.74,2.62,2.58,2.32,83,77,59,2,Tidak,Ya
20220451846 - Fitri Pratama,Perempuan,3.83,3.93,4.00,4.00,95,95,97,0,Tidak,Tidak
20230456464 - Dinda Santoso,Perempuan,2.92,3.11,3.42,3.51,86,86,87,0,Ya,Tidak
20230452893 - Nico Salsabila,Laki-laki,3.32,3.41,3.42,3.77,96,96,92,0,Ya,Tidak
20220452367 - Dewi Maharani,Perempuan,3.74,3.52,3.69,3.94,96,96,87,0,Tidak,Tidak
20230451978 - Rangga Aprilia,Laki-laki,2.45,2.87,2.77,3.27,74,74,79,0,Tidak,Tidak
20230456278 - Maya Cahya,Perempuan,3.05,3.26,3.50,3.58,90,90,75,0,Tidak,Ya
20230457199 - Rahma Firmansyah,Perempuan,3.84,4.00,3.85,4.00,89,89,84,0,Ya,Ya
20230459840 - Doni Utami,Laki-laki,2.20,1.82,1.69,1.63,74,67,47,1,Tidak,Tidak
20230451403 - Agung Wijaya,Laki-laki,3.42,3.43,3.28,3.08,84,84,81,0,Ya,Tidak
20230457873 - Kevin Maharani,Laki-laki,3.16,2.98,3.33,2.96,84,84,84,0,Tidak,Ya
20220453831 - Farhan Hidayat,Laki-laki,2.20,2.10,2.80,2.38,71,68,70,1,Tidak,Ya
20230452002 - Riska Sari,Perempuan,3.96,3.73,3.79,4.00,88,88,93,0,Tidak,Tidak
20230451096 - Fauzan Purnama,Laki-laki,3.46,3.67,4.00,4.00,94,94,88,0,Ya,Tidak
20230451419 - Kevin Ananda,Laki-laki,2.75,2.62,2.93,3.09,74,74,75,0,Tidak,Tidak
20220458365 - Dewi Wijaya,Perempuan,3.27,3.65,3.63,3.60,96,96,89,0,Tidak,Tidak
20220455908 - Aldi Aprilia,Laki-laki,3.67,3.46,3.57,3.52,91,91,93,0,Ya,Tidak
20220451868 - Rani Firmansyah,Perempuan,2.94,2.57,3.11,3.02,74,74,82,0,Tidak,Tidak
20220452784 - Intan Pratama,Perempuan,2.55,3.02,2.84,2.84,74,71,70,1,Tidak,Ya
20230455021 - Rian Anggraini,Laki-laki,3.11,2.72,2.72,2.84,80,78,69,1,Tidak,Tidak
20230458477 - Rizky Wijaya,Laki-laki,3.73,4.00,3.94,3.64,90,90,88,0,Tidak,Tidak
20220455422 - Joko Putra,Laki-laki,3.43,2.85,2.76,2.92,75,75,77,0,Tidak,Tidak
20220452125 - Fitri Azizah,Perempuan,2.48,2.58,2.55,2.33,70,64,60,2,Tidak,Tidak
20220457849 - Nisa Kurniawan,Perempuan,2.74,2.57,2.58,3.00,78,78,69,0,Ya,Ya
20230451532 - Rangga Hidayat,Laki-laki,3.35,3.39,3.25,2.99,92,88,75,1,Tidak,Tidak
20230455066 - Hafiz Firmansyah,Laki-laki,2.52,3.15,2.73,3.08,84,84,82,0,Tidak,Tidak
20220459207 - Budi Hidayat,Laki-laki,3.22,3.11,3.59,3.51,83,83,78,0,Tidak,Tidak
20230452335 - Nadia Azizah,Perempuan,2.47,2.91,2.87,2.91,84,84,82,0,Tidak,Tidak
20230459730 - Maya Maulana,Perempuan,3.01,3.17,3.16,3.58,89,89,87,0,Ya,Tidak
20230457088 - Hafiz Yusuf,Laki-laki,3.11,3.20,3.12,3.18,92,86,64,2,Ya,Tidak
20230458280 - Doni Salsabila,Laki-laki,2.54,2.94,2.98,3.16,75,72,72,1,Tidak,Tidak
20230458209 - Rizky Akbar,Laki-laki,3.07,3.69,3.36,3.47,83,79,71,1,Tidak,Ya
20220459848 - Melati Aprilia,Perempuan,2.05,2.68,2.85,3.15,88,82,63,2,Tidak,Tidak
20220458716 - Anisa Maulana,Perempuan,3.08,3.00,3.32,2.90,92,92,78,0,Tidak,Ya
20230459835 - Intan Rahman,Perempuan,2.86,3.08,3.83,3.35,92,92,86,0,Tidak,Tidak
20220452465 - Joko Salsabila,Laki-laki,3.77,3.84,3.43,3.47,95,95,82,0,Tidak,Tidak
20230455290 - Ilham Purnama,Laki-laki,3.56,3.51,3.48,3.30,89,86,78,1,Ya,Tidak
20230455465 - Zahra Purnama,Perempuan,2.88,3.04,3.19,2.85,88,88,80,0,Tidak,Tidak
20220456977 - Nico Ananda,Laki-laki,2.70,2.95,3.07,3.07,75,75,82,0,Tidak,Tidak
20220453897 - Kevin Firmansyah,Laki-laki,3.23,3.48,3.36,3.58,90,90,75,0,Tidak,Tidak
20230455697 - Wahyu Ramadhan,Laki-laki,3.03,2.87,2.86,3.02,88,86,69,1,Tidak,Ya
20220452670 - Fitri Setiawan,Perempuan,3.11,3.40,3.29,3.49,91,88,72,1,Tidak,Tidak
20230458851 - Ahmad Firmansyah,Laki-laki,3.45,3.68,3.73,4.00,94,94,85,0,Tidak,Tidak
20220455684 - Kevin Hidayat,Laki-laki,2.82,2.54,2.49,3.04,85,85,75,0,Tidak,Tidak
20220454369 - Doni Purnama,Laki-laki,3.20,3.36,4.00,4.00,94,94,91,0,Ya,Tidak
20220456375 - Fauzan Fadillah,Laki-laki,2.40,2.68,2.79,2.91,85,79,56,2,Tidak,Ya
20220453325 - Aulia Purnama,Perempuan,3.12,3.23,3.08,3.10,89,87,81,1,Tidak,Ya
20220452563 - Fauzan Ananda,Laki-laki,3.10,3.18,3.00,3.25,84,84,73,0,Tidak,Ya
20230455063 - Rangga Azizah,Laki-laki,3.30,3.20,3.32,3.35,86,86,80,0,Tidak,Tidak
20230453367 - Rian Salsabila,Laki-laki,2.49,2.95,3.00,2.92,76,72,61,2,Tidak,Tidak
20230458931 - Nico Aprilia,Laki-laki,2.73,2.98,3.03,3.09,85,85,81,0,Tidak,Tidak
20220452326 - Salma Syahputra,Perempuan,3.77,4.00,3.96,3.85,89,87,87,1,Tidak,Tidak
20220459707 - Joko Anggraini,Laki-laki,2.24,2.37,2.68,2.58,70,50,44,5,Ya,Tidak
20220458484 - Vina Ananda,Perempuan,2.94,2.63,3.39,3.35,85,85,78,0,Tidak,Tidak
20230459914 - Intan Saputra,Perempuan,2.24,2.14,2.53,2.41,80,68,41,3,Tidak,Ya
20220452581 - Dimas Permata,Laki-laki,3.09,2.84,2.97,3.04,87,87,79,0,Tidak,Tidak
20230459522 - Zahra Cahya,Perempuan,2.78,2.53,2.40,2.13,77,65,40,4,Tidak,Ya
20230457416 - Salma Aprilia,Perempuan,3.16,3.11,3.02,3.08,91,89,73,1,Tidak,Tidak
20230456663 - Vina Putra,Perempuan,2.94,2.68,3.20,2.82,86,86,68,0,Tidak,Ya
20220455709 - Arif Santoso,Laki-laki,2.65,2.61,2.99,3.30,88,88,71,0,Tidak,Tidak
20230457735 - Naufal Firmansyah,Laki-laki,3.54,3.42,3.51,3.30,88,88,78,0,Tidak,Tidak
20220458514 - Andi Firmansyah,Laki-laki,3.76,3.51,4.00,4.00,90,90,87,0,Ya,Tidak
20230457480 - Fauzan Nugroho,Laki-laki,3.46,3.19,3.39,3.51,90,90,70,0,Tidak,Tidak
20220457745 - Wahyu Setiawan,Laki-laki,3.03,3.06,2.75,3.06,88,88,76,0,Tidak,Ya
20220458937 - Tiara Maulana,Perempuan,1.52,2.10,2.11,2.50,79,71,38,4,Tidak,Tidak
20230458288 - Yuni Cahya,Perempuan,3.04,2.82,3.18,3.37,84,84,77,0,Tidak,Ya
20230454063 - Agung Pratama,Laki-laki,2.37,2.97,2.58,3.09,85,83,65,1,Tidak,Tidak
20230451256 - Anisa Saputra,Perempuan,2.56,2.83,2.69,2.98,83,83,73,0,Tidak,Tidak
20230452025 - Citra Nugroho,Perempuan,3.04,3.25,3.43,3.82,85,85,73,0,Tidak,Ya
20230452867 - Putri Salsabila,Perempuan,2.44,2.51,2.49,2.65,77,77,73,0,Tidak,Tidak
20230457862 - Aldi Purnama,Laki-laki,3.01,3.46,3.58,3.56,95,95,82,0,Tidak,Tidak
20230458952 - Bagas Utami,Laki-laki,4.00,3.50,3.74,3.84,95,95,83,0,Ya,Tidak
20220456802 - Budi Ananda,Laki-laki,1.90,1.55,1.93,1.58,79,71,50,2,Tidak,Ya
20220453251 - Dimas Azizah,Laki-laki,2.84,2.95,2.90,2.86,81,81,73,0,Tidak,Tidak
20230459623 - Gilang Sari,Laki-laki,2.98,2.98,3.13,3.31,92,92,86,0,Tidak,Tidak
20220452196 - Rian Aprilia,Laki-laki,3.00,3.08,3.05,3.25,85,85,88,0,Tidak,Tidak
20230451984 - Doni Firmansyah,Laki-laki,3.55,3.46,3.66,3.54,93,89,87,1,Tidak,Ya
20230459510 - Dimas Salsabila,Laki-laki,3.18,3.18,2.84,3.15,85,85,78,0,Tidak,Tidak
20220451748 - Riska Kurniawan,Perempuan,3.41,3.11,3.14,3.15,87,87,75,0,Tidak,Ya
20220456887 - Yuni Ananda,Perempuan,3.80,3.86,3.67,3.89,94,94,90,0,Tidak,Tidak
20220458487 - Fira Setiawan,Perempuan,3.07,3.15,3.12,3.30,84,84,85,0,Tidak,Ya
20230455919 - Nurul Azizah,Perempuan,3.46,3.66,3.99,3.86,96,96,95,0,Ya,Tidak
20230454889 - Maya Ramadhan,Perempuan,3.16,3.27,3.16,3.21,85,85,84,0,Tidak,Tidak
20230453342 - Joko Febrianti,Laki-laki,3.62,3.65,3.69,3.72,96,96,95,0,Tidak,Tidak
20220453332 - Doni Rahman,Laki-laki,3.34,3.21,2.87,2.98,90,90,81,0,Tidak,Tidak
20220453112 - Aulia Anggraini,Perempuan,2.86,2.92,2.78,2.83,75,75,82,0,Ya,Ya
20230453840 - Nisa Febrianti,Perempuan,2.66,3.04,3.14,3.42,88,88,76,0,Tidak,Tidak
20220455252 - Rahma Fadillah,Perempuan,2.75,3.04,2.98,3.07,78,74,74,2,Tidak,Tidak
20230453706 - Yuni Laksana,Perempuan,3.15,3.51,3.13,3.85,93,90,82,1,Tidak,Ya
20230457232 - Bayu Febrianti,Laki-laki,3.25,3.06,2.44,2.47,87,87,69,0,Tidak,Ya
20230452995 - Ilham Santoso,Laki-laki,3.04,2.59,3.20,2.81,82,82,79,0,Tidak,Tidak
20230458924 - Dewi Kurniawan,Perempuan,2.25,2.20,2.34,2.16,81,72,51,3,Tidak,Tidak
20230457713 - Ayu Pratama,Perempuan,3.62,3.38,3.40,3.47,90,88,82,1,Tidak,Ya
20220459353 - Citra Pratama,Perempuan,2.66,2.73,2.96,2.78,77,73,66,1,Tidak,Tidak
20220455672 - Bayu Salsabila,Laki-laki,2.86,2.97,2.94,3.02,88,76,56,3,Tidak,Ya
20220451874 - Hafiz Azizah,Laki-laki,2.76,2.65,2.70,2.77,76,64,53,3,Tidak,Tidak
20220452505 - Nadia Rahman,Perempuan,3.30,3.11,2.86,2.78,83,77,62,2,Tidak,Tidak
20230456699 - Putri Pratama,Perempuan,2.22,1.84,2.15,1.94,68,60,52,2,Tidak,Tidak
20220459643 - Rizky Rahman,Laki-laki,2.45,2.26,2.41,2.82,75,73,67,1,Tidak,Tidak
20230452632 - Indah Setiawan,Perempuan,2.96,3.17,3.54,3.09,88,88,76,0,Tidak,Tidak
20230455005 - Dimas Maulana,Laki-laki,3.17,3.28,3.66,3.41,88,80,70,2,Tidak,Tidak
20230455733 - Dinda Salsabila,Perempuan,2.48,2.87,3.30,3.13,85,82,72,1,Tidak,Ya
20230457637 - Rangga Sari,Laki-laki,2.52,2.79,2.57,2.69,87,87,70,0,Tidak,Tidak
20230456812 - Budi Firmansyah,Laki-laki,2.87,3.05,3.32,3.38,89,89,89,0,Tidak,Ya
20220456124 - Siti Rahman,Perempuan,2.91,3.17,3.29,3.91,91,91,85,0,Tidak,Tidak
20220455746 - Zahra Putra,Perempuan,3.79,4.00,4.00,4.00,95,92,79,1,Tidak,Tidak
20230453820 - Naufal Aprilia,Laki-laki,2.79,2.82,2.39,2.57,74,74,81,0,Ya,Ya
20230456462 - Agung Akbar,Laki-laki,3.13,3.45,3.78,4.00,89,89,81,0,Tidak,Ya
20230459526 - Nico Santoso,Laki-laki,2.57,2.38,3.36,3.38,86,82,70,1,Tidak,Tidak
20220456125 - Citra Syahputra,Perempuan,2.20,2.64,2.51,2.52,78,69,52,3,Tidak,Tidak
20220455231 - Wahyu Fadillah,Laki-laki,2.76,2.87,2.59,2.73,84,75,55,3,Tidak,Tidak
20220458374 - Nisa Ananda,Perempuan,2.56,2.52,2.51,2.61,75,63,50,3,Tidak,Tidak
20230458193 - Fitri Maharani,Perempuan,3.52,3.24,2.92,2.74,84,84,81,0,Ya,Tidak
20230453838 - Putri Nugroho,Perempuan,3.24,3.43,3.02,2.87,91,91,81,0,Tidak,Ya
20230454699 - Fira Utami,Perempuan,3.12,3.16,3.56,3.62,91,91,76,0,Tidak,Tidak
20220452339 - Joko Ramadhan,Laki-laki,3.07,2.74,2.99,3.06,80,71,63,3,Tidak,Tidak
20230456818 - Dewi Ramadhan,Perempuan,3.80,3.74,4.00,4.00,96,96,80,0,Tidak,Ya
20230453658 - Joko Permata,Laki-laki,2.46,3.02,3.12,3.12,81,79,75,1,Tidak,Ya
20220453494 - Salma Putra,Perempuan,3.33,3.36,3.42,3.62,90,90,88,0,Tidak,Tidak
20230453332 - Yoga Kurniawan,Laki-laki,2.95,2.85,3.06,2.63,83,74,51,3,Tidak,Tidak
20230459361 - Iqbal Anggraini,Laki-laki,2.93,2.81,2.66,2.40,88,82,64,2,Tidak,Tidak
20220457989 - Tiara Febrianti,Perempuan,2.64,2.39,2.62,2.43,84,76,51,2,Tidak,Ya
20220452096 - Tasya Santoso,Perempuan,2.98,3.02,2.93,2.90,77,77,71,0,Tidak,Tidak
20220458230 - Rahma Purnama,Perempuan,2.67,2.98,3.13,2.96,85,85,78,0,Tidak,Tidak
20230455777 - Intan Fadillah,Perempuan,3.51,3.34,3.92,3.88,96,96,90,0,Ya,Tidak
20230455452 - Naufal Salsabila,Laki-laki,2.82,3.17,2.89,3.31,84,81,69,1,Tidak,Tidak
20230459314 - Nisa Utami,Perempuan,2.66,2.97,2.76,3.07,88,80,59,2,Tidak,Tidak
20230457155 - Gilang Akbar,Laki-laki,2.80,2.75,2.59,2.72,76,76,72,0,Tidak,Ya
20220455666 - Zahra Laksana,Perempuan,3.04,3.05,2.92,2.69,76,76,82,0,Tidak,Tidak
20220456412 - Maya Kurniawan,Perempuan,2.86,2.57,2.37,1.82,80,77,69,1,Tidak,Ya
20220457914 - Vina Laksana,Perempuan,3.31,2.92,3.73,3.71,94,94,83,0,Tidak,Tidak
20220459197 - Fira Firmansyah,Perempuan,2.57,2.50,2.16,2.30,70,58,41,4,Tidak,Ya
20220455194 - Nurul Maharani,Perempuan,3.34,3.44,3.35,2.87,92,88,64,1,Tidak,Tidak
20230458421 - Agung Saputra,Laki-laki,3.28,3.39,3.50,3.68,93,85,64,2,Tidak,Tidak
20230456909 - Galih Maharani,Laki-laki,2.99,3.28,3.37,3.01,88,88,80,0,Tidak,Tidak
20230457891 - Maya Rahman,Perempuan,2.81,2.63,3.01,2.72,74,70,71,1,Tidak,Ya
20220454216 - Doni Aprilia,Laki-laki,3.17,2.93,3.49,3.14,91,91,63,0,Tidak,Tidak
20220455582 - Andi Yusuf,Laki-laki,3.49,3.66,3.71,3.41,92,92,90,0,Ya,Tidak
20230457017 - Naufal Purnama,Laki-laki,3.26,2.96,3.43,3.66,90,90,85,0,Tidak,Tidak
20220459180 - Ilham Akbar,Laki-laki,2.70,2.96,3.01,3.09,77,73,65,1,Tidak,Tidak
20230455818 - Galih Ananda,Laki-laki,3.15,3.22,3.02,3.28,86,86,83,0,Ya,Ya
20220457258 - Yoga Yusuf,Laki-laki,3.28,3.01,3.78,3.87,93,93,90,0,Tidak,Tidak
